transaction_id,sender,receiver,amount,channel,timestamp,branch,is_fraud
TX000001,A222,A231,141709,CASH,2026-02-24 13:36:51,BR3,0
TX000002,A286,A171,32533,NEFT,2026-02-20 04:48:38,BR15,0
TX000003,A234,A603,194798,UPI,2026-02-24 04:04:08,BR4,0
TX000004,A577,A710,62850,CASH,2026-01-26 16:06:09,BR2,0
TX000005,A196,A503,251265,NEFT,2026-01-26 18:33:50,BR16,0
TX000006,A109,A321,179600,IMPS,2026-01-26 22:34:30,BR7,0
TX000007,A119,A724,231314,CASH,2026-02-13 01:32:26,BR17,0
TX000008,A538,A804,471950,RTGS,2026-01-18 18:15:20,BR16,0
TX000009,A420,A828,139666,RTGS,2026-01-11 16:05:50,BR2,0
TX000010,A591,A941,490071,NEFT,2026-01-09 18:38:04,BR3,0
TX000011,A536,A77,1971,RTGS,2026-01-20 03:52:03,BR17,0
TX000012,A279,A939,13213,RTGS,2026-02-10 05:48:17,BR1,0
TX000013,A717,A83,17442,IMPS,2026-01-12 04:36:33,BR2,0
TX000014,A205,A155,344601,RTGS,2026-01-14 11:25:52,BR15,0
TX000015,A432,A848,205363,CASH,2026-02-26 19:25:49,BR2,0
TX000016,A883,A766,286155,NEFT,2026-02-15 14:08:34,BR17,0
TX000017,A886,A222,77711,CASH,2026-01-08 01:40:53,BR15,0
TX000018,A296,A413,213067,IMPS,2026-01-14 13:43:21,BR20,0
TX000019,A48,A906,195538,NEFT,2026-03-04 17:41:00,BR19,0
TX000020,A724,A298,25616,RTGS,2026-01-05 06:16:11,BR8,0
TX000021,A637,A924,17113,IMPS,2026-01-17 17:07:14,BR7,0
TX000022,A999,A892,383156,IMPS,2026-02-19 02:42:11,BR4,0
TX000023,A259,A709,215849,RTGS,2026-02-05 07:41:26,BR11,0
TX000024,A933,A190,456285,UPI,2026-01-15 22:14:07,BR20,0
TX000025,A700,A524,263074,IMPS,2026-03-06 00:10:56,BR9,0
TX000026,A66,A236,168015,NEFT,2026-01-30 10:21:04,BR17,0
TX000027,A512,A462,262710,IMPS,2026-01-31 06:37:00,BR14,0
TX000028,A886,A624,356340,IMPS,2026-01-23 15:45:49,BR12,0
TX000029,A288,A254,486173,CASH,2026-02-22 20:35:35,BR17,0
TX000030,A986,A350,46886,IMPS,2026-01-10 11:12:53,BR9,0
